,source,target,id,value,amount,count,logamount
0,fb0f2a9d-ee85-4598-8371-272721728c1a,71c0c046-bd8d-4af7-a553-6b6b4e257845,0,1.0,1750.0,1,7.467942332285852
1,fb0f2a9d-ee85-4598-8371-272721728c1a,72f6a5ce-6c3d-451b-9552-16ec4c596858,1,1.0,7500.0,1,8.922791623969637
2,0ee773ee-ecde-49d4-a51a-5e8311b5ccb3,1958b2b3-271a-4d35-a568-84813576ca00,2,1.0,2500.0,1,7.824445930877619
3,0ee773ee-ecde-49d4-a51a-5e8311b5ccb3,b42a436f-4f67-4eee-9a6a-ff0a753e65f8,3,1.0,1500.0,1,7.313886831633462
4,14cada18-af22-4d8f-ac2d-d533fa0f06c3,d88ca238-7e83-4f3b-832a-62cbb06b99ff,4,1.0,7000.0,1,8.853808274977197
5,64573e91-239c-4864-aa8a-e8752351fcba,b172226d-2fd4-4954-b92a-e37015a4afea,5,1.0,550.0,3,6.311734809152915
6,dbd85171-6f12-4d42-92b0-fffe7b3792db,8b404beb-e0f1-4a9e-ad14-51261ed76d45,6,1.0,0.0,1,0.0
7,c91361c9-dde3-4f7f-ac0a-234b42916f14,981f0e6a-89f6-416d-9ff3-c76b0aadba5f,7,1.0,3000.0,2,8.006700845440367
8,c91361c9-dde3-4f7f-ac0a-234b42916f14,f8eae707-5cf1-40d1-9748-d1397a97f7b9,8,1.0,1500.0,1,7.313886831633462
9,54a95652-92f0-40be-b1ae-62edb1a04621,5029e416-3cc3-40d7-9be9-a29bdbfdf621,9,1.0,1600.0,2,7.3783837129967145
10,54a95652-92f0-40be-b1ae-62edb1a04621,bebf1f8a-2add-4934-adc9-03dfdee6e39e,10,1.0,100.0,1,4.61512051684126
11,65fee464-cd24-470d-9f17-f0ea485123ac,2fa45c51-c325-4ff5-8592-3567187196cb,11,1.0,45000.0,2,10.714439990727769
12,c1cba78d-3cb8-483f-866b-62a8fca2ef7e,3a4da54e-1fee-4e80-91d1-503f29004792,12,1.0,2855.0,1,7.957177323459475
13,c1cba78d-3cb8-483f-866b-62a8fca2ef7e,a52a3c35-e591-4599-9b8f-e7cea7776086,13,1.0,17884.0,1,9.791717651693117
14,fa1c1d50-0ae3-462b-a67e-4c71dca90b0c,8863167e-646c-4279-83e3-251a0d7fbf70,14,1.0,20000.0,2,9.90353755128617
15,cf60e2ab-99d6-47b3-8aa4-79058558b681,866be2fe-3d7c-4892-b548-76c41cda9847,15,1.0,0.0,1,0.0
16,4af2623e-9e92-4d84-ad3f-1ee81bded0b2,2fa45c51-c325-4ff5-8592-3567187196cb,16,1.0,10000.0,1,9.210440366976517
17,8bcd93e0-35c8-463a-8327-a2496654fe5a,77358bdf-d752-48c3-b20e-36f3df672cbe,17,1.0,15000.0,3,9.61587214452889
18,8bcd93e0-35c8-463a-8327-a2496654fe5a,cde84e0e-a5f8-487b-8da9-0d1bee647a75,18,1.0,15000.0,1,9.61587214452889
19,c994429f-d88f-4d5b-9a4b-1b44f3db41bd,0ca35ccb-1e73-4ec7-a52c-8f533df465bf,19,1.0,400.0,2,5.993961427306569
20,f5ec934a-b528-4b7a-876d-f7a51c0a42f4,6c29f781-cc58-433f-b78b-25559f1dc987,20,1.0,5000.0,1,8.517393171418904
21,ecadbdac-9d90-42b7-b201-d8ebecb591cf,68bbd555-5b3b-4955-b0e9-408da35565c7,21,1.0,20000.0,2,9.90353755128617
22,ecadbdac-9d90-42b7-b201-d8ebecb591cf,87e4332c-c433-4033-aa1d-9fc752f25576,22,1.0,5000.0,1,8.517393171418904
23,4072b662-616f-44f8-9c50-f85478c467ed,2fa45c51-c325-4ff5-8592-3567187196cb,23,1.0,15000.0,1,9.61587214452889
24,ceca3294-a9b7-48fb-b246-2fbcae2b73b3,7be056e0-6c7e-4cc1-a753-fbf638148360,24,1.0,3000.0,1,8.006700845440367
25,acba6dc9-b70e-44ab-8c33-138426d6fe4c,b222ee72-db36-4004-a1f6-b4ef215ea30a,25,1.0,427.0,1,6.059123195581797
26,acba6dc9-b70e-44ab-8c33-138426d6fe4c,bfcf9526-9933-4613-9c85-c470d9d95deb,26,1.0,4184.0,3,8.339261982923576
27,360333e9-e83f-46c6-9d57-db77d160d8c3,bb0c8c89-11f5-4255-8daa-589b78a0bce3,27,1.0,3000.0,3,8.006700845440367
28,52fc38f3-604e-4d4a-a71e-d30882a2874e,e4b25bde-3e09-44c5-9ba4-27a2b6fbfffe,28,1.0,250.0,1,5.5254529391317835
29,498da60d-3941-4840-91ae-5ebd27c1cc6e,27f63a79-47f8-494e-bf85-086493050c96,29,1.0,800.0,2,6.68586094706836
30,e3613122-3973-49d1-9bbd-5510ebd00a42,91e3e475-fa4d-449f-baf9-9ec0e7d85e8d,30,1.0,175373.0,4,12.074676115321505
31,e3613122-3973-49d1-9bbd-5510ebd00a42,afe5c495-0a9d-4076-8984-378c3022d899,31,1.0,175244.0,1,12.073940273819359
32,867da6ac-6985-47a7-81f4-8925748a3c32,e9e897b8-2d3d-4c73-9e6c-511604423287,32,1.0,40000.0,1,10.596659732783579
