,name,category,state_abbrv,county_uid,city_uid,in_flow,out_flow,flow,pretty_category,lcc,color,x,y
8237ed4c-91d5-4524-90d8-a222b7f711d5,WESTPOT POLICE DEPARTMENT,LEOs,IN,C-31-18,WESTPORT-31-18,12961.0,0.0,12961.0,LEOs,1,#062160,159.00202393895307,13.442770111649693
f5841282-b080-4082-8a16-4b298f41a43f,JOHNSON COUNTY SHERIFFS OFFICE,LEOs,,,,7200.0,0.0,7200.0,LEOs,1,#062160,135.9501132564905,74.15834129781786
fb0f2a9d-ee85-4598-8371-272721728c1a,PLANET DOG FOUNDATION,Private-ish,ME,C-5-23,WESTBROOK-5-23,0.0,9250.0,9250.0,Private-ish,1,#668DE5,51.87913860966944,100.73308298598387
0ee773ee-ecde-49d4-a51a-5e8311b5ccb3,KENNEBUNK SAVINGS BANK FOUNDATION,Private-ish,ME,C-31-23,KENNEBUNK-31-23,0.0,4000.0,4000.0,Private-ish,1,#668DE5,113.97161922395429,139.61754259672938
14cada18-af22-4d8f-ac2d-d533fa0f06c3,EDWARD K MARTIN FOUNDATION INC,Private-ish,CA,C-19-6,CLOVIS-19-6,0.0,7000.0,7000.0,Private-ish,1,#668DE5,111.80225304853836,137.14719918121563
64573e91-239c-4864-aa8a-e8752351fcba,PATRICIA E PHELAN AND JOSEPH W PHELAN FAMILY FOUNDATION INC,Private-ish,NY,C-21-36,GERMANTOWN-21-36,0.0,550.0,550.0,Private-ish,1,#668DE5,64.458710678421,77.2568786348588
ddd9b33c-50bc-4511-a348-27f943c3cd28,SHERIFFS MEMORIAL AND BENEVOLANT SOCIETY OF TRAVIS COUNTY,Police Nonprofits,TX,C-453-48,AUSTIN-0-48,25750.0,0.0,25750.0,Havens,1,#F2BE57,93.80278345113479,108.36923801851788
dbd85171-6f12-4d42-92b0-fffe7b3792db,ASHNER FAMILY EVERGREEN FOUNDATION,Private-ish,NY,C-59-36,,0.0,0.0,0.0,Private-ish,1,#668DE5,62.95273452307062,133.14462116395467
c91361c9-dde3-4f7f-ac0a-234b42916f14,BROWN ADVISORY CHARITABLE FOUNDATION INC,Private-ish,MD,C-510-24,BALTIMORE-510-24,0.0,4500.0,4500.0,Private-ish,1,#668DE5,179.16227896677748,117.29407869482029
54a95652-92f0-40be-b1ae-62edb1a04621,MAX KAGAN FAMILY FOUNDATION,Private-ish,MA,C-9-25,ROCKPORT-9-25,0.0,1700.0,1700.0,Private-ish,1,#668DE5,55.98059130654717,97.94306048954579
65fee464-cd24-470d-9f17-f0ea485123ac,TRUSTEES OF DARTMOUTH COLLEGE,Private-ish,NH,C-9-33,HANOVER-9-33,0.0,45000.0,45000.0,Private-ish,1,#668DE5,81.74640432778968,134.19043429361486
1958b2b3-271a-4d35-a568-84813576ca00,DOVER POLICE DEPARTMENT,LEOs,NH,C-17-33,DOVER-17-33,23250.0,0.0,23250.0,LEOs,1,#062160,108.16620342449733,126.5951209744666
69629204-8ff9-46ee-b4f3-cfe29dc7bda7,WORKING DOG FOUNDATION TO BENEFIT NEW HAMPSHIRE POLICE K9SD,Police Nonprofits,NH,C-15-33,PORTSMOUTH-15-33,6105.0,0.0,6105.0,Havens,1,#F2BE57,65.06306977944834,108.22234065793853
c1cba78d-3cb8-483f-866b-62a8fca2ef7e,ROY M MALOOL FAMILY FOUNDATION CO ROYMAL INC,Private-ish,NH,C-19-33,NEWPORT-19-33,0.0,20739.0,20739.0,Private-ish,1,#668DE5,42.89481612402165,53.350200900891345
fa1c1d50-0ae3-462b-a67e-4c71dca90b0c,THE MICHAEL  HELEN SCHAFFER FOUNDATION,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,20000.0,20000.0,Private-ish,1,#668DE5,72.67931861192707,127.49860665730246
cf60e2ab-99d6-47b3-8aa4-79058558b681,TICKETS FOR KIDS FOUNDATION,Private-ish,PA,C-3-42,PITTSBURGH-3-42,0.0,0.0,0.0,Private-ish,1,#668DE5,130.55298762136817,79.2920301015346
4af2623e-9e92-4d84-ad3f-1ee81bded0b2,JOHN  AMY GRIFFIN FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,10000.0,10000.0,Private-ish,1,#668DE5,83.41749300790966,138.3407025559534
7e07a65a-3bf5-4dd2-97a7-b68a239638fe,ALBEMARLE COUNTY SHERIFFS OFFICE FOUNDATION,Police Nonprofits,VA,C-540-51,CHARLOTTESVILLE-540-51,0.0,0.0,0.0,Havens,1,#F2BE57,120.58035843786115,39.271547433368355
8bcd93e0-35c8-463a-8327-a2496654fe5a,THE EDWARD E  MARIE L MATTHEWS FOUNDATION,Private-ish,DE,C-3-10,WILMINGTON-3-10,0.0,30000.0,30000.0,Private-ish,1,#668DE5,55.89802798226791,81.72596460041686
85dc2ef0-cdbd-415d-b578-57fb2d485014,ALEXANDRIA POLICE FOUNDATION TOTAL,Police Nonprofits,VA,C-510-51,ALEXANDRIA-510-51,89996.0,0.0,89996.0,Havens,1,#F2BE57,91.68861521573164,107.50134725615007
c994429f-d88f-4d5b-9a4b-1b44f3db41bd,CC AND YUHLING HAN FOUNDATION,Private-ish,CA,C-85-6,MILPITAS-85-6,0.0,400.0,400.0,Private-ish,1,#668DE5,136.45814594415302,138.28582854988161
f5ec934a-b528-4b7a-876d-f7a51c0a42f4,THE FOSTER FAMILY PRIVATE FOUNDATION INC,Private-ish,DE,C-3-10,WILMINGTON-3-10,0.0,5000.0,5000.0,Private-ish,1,#668DE5,50.968832165821105,77.2146933925113
ecadbdac-9d90-42b7-b201-d8ebecb591cf,THE JIM AND BARBARA TSAY FOUNDATION,Private-ish,CA,C-37-6,BEVERLY HILLS-37-6,0.0,25000.0,25000.0,Private-ish,1,#668DE5,135.39421287526773,146.25341887910662
4072b662-616f-44f8-9c50-f85478c467ed,NEW HAMPSHIRE CHARITABLE FOUNDATION,Private-ish,NH,C-13-33,CONCORD-13-33,0.0,15000.0,15000.0,Private-ish,1,#668DE5,81.42993150288305,136.83276595733105
ceca3294-a9b7-48fb-b246-2fbcae2b73b3,BJB CHARITABLE ACCOUNT,Other Foundations,CO,C-13-8,BOULDER-13-8,0.0,3000.0,3000.0,Other Foundations,1,#D4D4D4,78.522813558707,101.93422268943571
acba6dc9-b70e-44ab-8c33-138426d6fe4c,GOMBERT FAMILY FOUNDATION,Private-ish,NE,C-109-31,LINCOLN-109-31,0.0,4611.0,4611.0,Private-ish,1,#668DE5,138.1840609999925,95.54396496116516
360333e9-e83f-46c6-9d57-db77d160d8c3,VINTON FAMILY FOUNDATION,Private-ish,DE,C-3-10,WILMINGTON-3-10,0.0,3000.0,3000.0,Private-ish,1,#668DE5,61.71937791445743,126.2965378229357
52fc38f3-604e-4d4a-a71e-d30882a2874e,BEN  JERRYS FOUNDATION INC,Private-ish,VT,C-7-50,SOUTH BURLINGTON-7-50,0.0,250.0,250.0,Private-ish,1,#668DE5,77.60532245207663,66.67233199290584
e4b25bde-3e09-44c5-9ba4-27a2b6fbfffe,LACEYS FUND VERMONT POLICE CANINE ASSOCIATION INC,Police Nonprofits,VT,C-7-50,COLCHESTER-7-50,21290.0,0.0,21290.0,Havens,1,#F2BE57,82.39638978571931,75.61154536028988
498da60d-3941-4840-91ae-5ebd27c1cc6e,FISCH FAMILY FOUNDATION,Private-ish,CA,C-37-6,BEVERLY HILLS-37-6,0.0,800.0,800.0,Private-ish,1,#668DE5,147.5731767084814,154.6326747092317
e3613122-3973-49d1-9bbd-5510ebd00a42,NORTHEASTERN UNIVERSITY,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,350617.0,350617.0,Private-ish,1,#668DE5,93.41092653250443,92.60198172154205
867da6ac-6985-47a7-81f4-8925748a3c32,BOSTON COLLEGE TRUSTEES,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,40000.0,40000.0,Private-ish,1,#668DE5,53.20129691148589,117.56502732954031
779eebc7-3960-4686-a6a9-05ed1b8145ce,BOSTON FOUNDATION INC,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,114950.0,114950.0,Private-ish,1,#668DE5,76.41442847164633,125.41388304191891
1141f921-2daf-4810-accc-8b7e91ff456a,BERKSHIRE UNITED WAY INC,Private-ish,MA,C-3-25,PITTSFIELD-3-25,0.0,59890.0,59890.0,Private-ish,1,#668DE5,35.68639712900311,50.63866323982988
ea831248-fc88-4609-8c14-06765f96c930,METROWEST HEALTH FOUNDATION INC,Private-ish,MA,C-17-25,FRAMINGHAM-17-25,0.0,3328.0,3328.0,Private-ish,1,#668DE5,64.37178962203546,8.516532800753495
80f721c7-62f5-4c7b-88e5-d0e761c14a19,UNITED WAY OF MASSACHUSETTS BAY INC,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,7750.0,7750.0,Private-ish,1,#668DE5,111.49398288566174,135.02013361834082
e1a3c810-5958-4780-bf75-e65ac409b35e,INSTITUTE OF TRADITIONAL SCIENCE INC,Other Foundations,MA,C-17-25,CAMBRIDGE-17-25,0.0,100.0,100.0,Other Foundations,1,#D4D4D4,88.4443830723565,167.0444022392512
05281818-0163-4496-908c-1ca929e9cba7,MASSACHUSETTS CHIEFS OF POLICE ASSOCIATION INC,Police Nonprofits,MA,C-27-25,GRAFTON-27-25,722750.0,0.0,722750.0,Havens,1,#F2BE57,56.02141014298816,30.864586351471686
8bbd40b6-4d30-46b0-b460-fcbf614af92a,GREATER LAWRENCE FAMILY HEALTH CENTER INC,Private-ish,MA,C-9-25,METHUEN TOWN-9-25,0.0,15307.0,15307.0,Private-ish,1,#668DE5,163.62973987566068,33.01522733264177
4792bcbb-24da-4fba-bd4b-4406410f29b6,MASSACHUSETTS ASSOCIATION OF MINORITY LAW ENFORCEMENT OFFICERS INC,Police Nonprofits,MA,C-25-25,BOSTON-25-25,79750.0,0.0,79750.0,Havens,1,#F2BE57,69.66610167889479,130.99878580719337
08fcbb64-4d65-4671-8ab7-ff499bda7a81,MERCURY WIRE PRODUCTS CHARITABLE FOUNDATION,Private-ish,MA,C-27-25,SPENCER-27-25,0.0,365.0,365.0,Private-ish,1,#668DE5,101.50093602694993,27.374527742115575
4477fcb9-aef8-4195-ac65-1b1eecafff92,HIGHLAND STREET CONNECTION AND SUBSIDIARIES,Private-ish,MA,C-17-25,NEWTON-17-25,0.0,23000.0,23000.0,Private-ish,1,#668DE5,75.09658770345997,112.32545155430554
71ea4464-bbe1-4510-87e8-458c886c3717,PLYMOUTH POLICE DEPARTMENT,LEOs,MA,C-23-25,PLYMOUTH-23-25,5000.0,0.0,5000.0,LEOs,1,#062160,69.04219742688468,130.3967986445005
c543faa5-b604-4bf0-9c1c-eb1591ac6bde,FRANK R AND ELIZABETH SIMONI FOUNDATION INC,Private-ish,MA,C-21-25,NORWOOD-21-25,0.0,68000.0,68000.0,Private-ish,1,#668DE5,51.490923455691345,96.82238620037093
3effa3ba-debd-4f0b-a540-532b78f24f7c,KESSLER FAMILY FOUNDATION,Private-ish,FL,C-99-12,PALM BEACH-99-12,0.0,54000.0,54000.0,Private-ish,1,#668DE5,84.1860900452385,146.82570715236557
3948fb9c-cfda-4d74-a332-5f7468ecf28f,THE NEW ENGLAND PATRIOTS CHARITABLE FOUNDATIONINC,Private-ish,MA,C-21-25,FOXBOROUGH-21-25,0.0,50000.0,50000.0,Private-ish,1,#668DE5,67.5182927511609,137.81507106279008
df8a1905-d54e-4a9d-a463-958984b83533,GERALD R JORDAN FOUNDATION,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,51200.0,51200.0,Private-ish,1,#668DE5,83.03375944080226,147.48814985364666
ba4241eb-a763-4010-b484-dd7d20084b8e,HAMILTON CHARITABLE CORPORATION,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,85.0,85.0,Private-ish,1,#668DE5,50.91038792724598,25.45900324102149
1e4002b1-4789-472c-b80d-09210c83a53b,RODMAN RIDE FOR KIDS INC,Other Foundations,MA,C-21-25,FOXBOROUGH-21-25,0.0,1654264.0,1654264.0,Other Foundations,1,#D4D4D4,73.33191805725329,127.45150696752967
b50d0dca-f4f4-49dc-beeb-5a78a460dfc6,THE JOSETTA FUND,Private-ish,MA,C-25-25,BOSTON-25-25,0.0,56000.0,56000.0,Private-ish,1,#668DE5,59.73911623541488,111.65952651649636
cb129da4-3134-479a-81ee-dad4d128f597,EUGENE F MERKERT 1996 CHARITABLE FOUNDATION,Private-ish,FL,C-99-12,LOXAHATCHEE GROVES-99-12,0.0,0.0,0.0,Private-ish,1,#668DE5,50.72283922054503,98.72251606431767
76338734-f2e9-415f-aa8a-0576d7e21146,BERKSHIRE BANK FOUNDATION INC,Private-ish,MA,C-3-25,PITTSFIELD-3-25,0.0,3000.0,3000.0,Private-ish,1,#668DE5,85.39087748819061,125.04934443654571
0ae5282c-ab91-41d4-94fe-cda8a15a4bf4,MEIER FAMILY FOUNDATION LTD,Private-ish,MA,C-1-25,CHATHAM-1-25,0.0,185.0,185.0,Private-ish,1,#668DE5,51.76220232892588,22.726533472735625
a9e1fe32-6319-4266-8269-c21f4141d9f1,GIVING BACK FUND INC,Private-ish,CA,C-37-6,LOS ANGELES-37-6,0.0,41000.0,41000.0,Private-ish,1,#668DE5,115.67046875443066,113.92242170388006
7104f905-2115-4254-940e-49c14868ab31,NORMAN M SHACK CHARITABLE FOUNDATION,Private-ish,MA,C-9-25,NORTH ANDOVER-9-25,0.0,10.0,10.0,Private-ish,1,#668DE5,39.9232578496488,86.9592765228217
